source,dest,step_from,step_to,count
Deported or left country,ECUADOR,4,5,43
Deported or left country,EL SALVADOR,4,5,4
Deported or left country,GUATEMALA,4,5,16
Deported or left country,HONDURAS,4,5,15
Deported or left country,INDIA,4,5,2
Deported or left country,MEXICO,4,5,36
Deported or left country,NICARAGUA,4,5,7
Deported or left country,PERU,4,5,2
Deported or left country,SERBIA,4,5,2
Deported or left country,SPAIN,4,5,2
EPC,Deported or left country,3,4,89
EROFCB,Deported or left country,3,4,89
EROFCB,EPC,2,3,89
EROFCB,EROFCB,2,3,89
EROFCB,OTRPCNM,2,3,78
EROFCB,PIC,2,3,69
EROFCB,SPMHOLD,2,3,75
EROFCB,TOORANM,2,3,52
FREEBMN,SPMHOLD,2,3,53
KANDIMN,SPMHOLD,2,3,54
OTRPCNM,Deported or left country,3,4,78
PIC,Deported or left country,3,4,68
PIC,No longer detained,3,4,1
SHERBMN,SPMHOLD,2,3,68
SPMHOLD,Deported or left country,3,4,250
SPMHOLD,EROFCB,1,2,452
SPMHOLD,FREEBMN,1,2,53
SPMHOLD,KANDIMN,1,2,54
SPMHOLD,SHERBMN,1,2,68
TOORANM,Deported or left country,3,4,52
